不_d ,_w 12243_m 
休兵_v ,_w 13_m 
临觞_v ,_w 13_m 
风摇_a ,_w 13_m 
县城_n ,_w 13_m 
管弦声_n ,_w 13_m 
凤管_n ,_w 13_m 
肝_n ,_w 13_m 
雍州_ns ,_w 13_m 
回避_v ,_w 13_m 
雠_g ,_w 13_m 
鹿门_n ,_w 13_m 
起居_n ,_w 13_m 
畴_g ,_w 13_m 
金铃_np ,_w 13_m 
酒且_c ,_w 13_m 
银床_n ,_w 13_m 
松梢_n ,_w 13_m 
清宴_n ,_w 13_m 
游戏_n ,_w 13_m 
降城_ns ,_w 13_m 
孤枕_n ,_w 13_m 
空_d 断_v ,_w 13_m 
早_a 闻_v ,_w 13_m 
山丘_n ,_w 13_m 
落笔_v ,_w 13_m 
忆昨_v ,_w 13_m 
驶_g ,_w 13_m 
何谢_v ,_w 13_m 
逮_v ,_w 13_m 
昔岁_v ,_w 13_m 
峨眉_v ,_w 13_m 
飞过_v ,_w 13_m 
吴姬_np ,_w 13_m 
波动_v ,_w 13_m 
横吹_v ,_w 13_m 
字字_n ,_w 13_m 
有望_v ,_w 13_m 
归轩_v ,_w 13_m 
灵草_n ,_w 13_m 
泯_g ,_w 13_m 
桐阴_ns ,_w 13_m 
燕语_n ,_w 13_m 
水岸_n ,_w 13_m 
水行_n ,_w 13_m 
醒时_t ,_w 13_m 
粥_n ,_w 13_m 
陆沉_a ,_w 13_m 
潮痕_n ,_w 13_m 
朱邸_n ,_w 13_m 
今秋_t ,_w 13_m 
大堤_n ,_w 13_m 
羽林_n ,_w 13_m 
花林_n ,_w 13_m 
首阳_n ,_w 13_m 
无人处_id ,_w 13_m 
仲尼_np ,_w 13_m 
星桥_n ,_w 13_m 
苍烟_n ,_w 13_m 
纹_g ,_w 13_m 
荏苒_v ,_w 13_m 
惠风_np ,_w 13_m 
名花_n ,_w 13_m 
影入_v ,_w 13_m 
掾_g ,_w 13_m 
寒溪_ns ,_w 13_m 
君应_v ,_w 13_m 
窗明_np ,_w 13_m 
国家_n ,_w 13_m 
初服_v ,_w 13_m 
织女_n ,_w 13_m 
翠楼_n ,_w 13_m 
立身_v ,_w 13_m 
残烛_n ,_w 13_m 
训_v ,_w 13_m 
濛_g ,_w 13_m 
世网_n ,_w 13_m 
翠钿_a ,_w 13_m 
性_g ,_w 13_m 
二十五_m ,_w 13_m 
华池_ns ,_w 13_m 
江静_np ,_w 13_m 
桃杏_n ,_w 13_m 
春月_t ,_w 13_m 
沙_n 上_f ,_w 13_m 
行将_n ,_w 13_m 
含露_v ,_w 13_m 
中时_t ,_w 13_m 
清酒_n ,_w 13_m 
歌筵_n ,_w 13_m 
夜方_n ,_w 13_m 
卑湿_a ,_w 13_m 
画师_n ,_w 13_m 
落帆_v ,_w 13_m 
蔬_g ,_w 13_m 
湓浦_v ,_w 13_m 
湘东_ns ,_w 13_m 
飞声_n ,_w 13_m 
渭桥_ns ,_w 13_m 
深水_a ,_w 13_m 
子夜_t ,_w 13_m 
大贤_n ,_w 13_m 
恸_g ,_w 13_m 
神清_v ,_w 13_m 
稼穑_n ,_w 13_m 
归乡_v ,_w 13_m 
灯焰_n ,_w 13_m 
高丘_np ,_w 13_m 
朱旗_n ,_w 13_m 
筇_g ,_w 13_m 
水寒_n ,_w 13_m 
陇首_v ,_w 13_m 
鲸_g ,_w 13_m 
白鱼_n ,_w 13_m 
滞留_v ,_w 13_m 
侍儿_n ,_w 13_m 
非吾事_a ,_w 13_m 
玉漏_n ,_w 13_m 
军令_n ,_w 13_m 
百_m 战_g ,_w 13_m 
独守_v ,_w 13_m 
五老峰_ns ,_w 13_m 
松盖_n ,_w 13_m 
分付_v ,_w 13_m 
苦战_v ,_w 12_m 
犹思_v ,_w 12_m 
猿鸣_v ,_w 12_m 
皤然_a ,_w 12_m 
明知_v ,_w 12_m 
墙上_s ,_w 12_m 
泊舟_n ,_w 12_m 
观身_v ,_w 12_m 
正在_d ,_w 12_m 
东_f 窗_g ,_w 12_m 
兀然_a ,_w 12_m 
飘零_v ,_w 12_m 
静思_v ,_w 12_m 
成仙_n ,_w 12_m 
十数_m ,_w 12_m 
士_g ,_w 12_m 
持杯_v ,_w 12_m 
迎送_v ,_w 12_m 
垂柳_n ,_w 12_m 
复情_v ,_w 12_m 
幽闲_a ,_w 12_m 
偏照_v ,_w 12_m 
猩猩_n ,_w 12_m 
罗裙_n ,_w 12_m 
欣欣_a ,_w 12_m 
深居_v ,_w 12_m 
髭_g ,_w 12_m 
留欢_v ,_w 12_m 
不_d 免_v ,_w 12_m 
荆榛_np ,_w 12_m 
深_a 树_n ,_w 12_m 
江人_n ,_w 12_m 
碧岩_np ,_w 12_m 
仁义_a ,_w 12_m 
夜未央_id ,_w 12_m 
巴_j 人_n ,_w 12_m 
蓬莱殿_ns ,_w 12_m 
北户_n ,_w 12_m 
烈烈_a ,_w 12_m 
安居_v ,_w 12_m 
溪行_n ,_w 12_m 
寓_g ,_w 12_m 
花长_n ,_w 12_m 
生光_n ,_w 12_m 
挟_v ,_w 12_m 
友朋_n ,_w 12_m 
飙_g ,_w 12_m 
歌管_n ,_w 12_m 
玉帛_n ,_w 12_m 
蚊蚋_n ,_w 12_m 
巴歌_np ,_w 12_m 
眼中人_n ,_w 12_m 
一顾_v ,_w 12_m 
夜语_n ,_w 12_m 
秦吴_np ,_w 12_m 
莲塘_n ,_w 12_m 
浣纱_v ,_w 12_m 
春思_v ,_w 12_m 
枫树_n ,_w 12_m 
雪压_n ,_w 12_m 
退身_v ,_w 12_m 
清砧_n ,_w 12_m 
京都_ns ,_w 12_m 
君相_n ,_w 12_m 
更何人_id ,_w 12_m 
东林寺_ns ,_w 12_m 
鵩鸟_n ,_w 12_m 
烟际_n ,_w 12_m 
叱_g ,_w 12_m 
小松_np ,_w 12_m 
军装_n ,_w 12_m 
楚泽_np ,_w 12_m 
玉洞_n ,_w 12_m 
寒心_n ,_w 12_m 
捎_v ,_w 12_m 
缘情_n ,_w 12_m 
听取_v ,_w 12_m 
蹇步_v ,_w 12_m 
留宾_np ,_w 12_m 
随时_d ,_w 12_m 
赤子_n ,_w 12_m 
中条_n ,_w 12_m 
文王_n ,_w 12_m 
仲月_t ,_w 12_m 
乐事_n ,_w 12_m 
归_v 晚_g ,_w 12_m 
龙头_n ,_w 12_m 
酒气_n ,_w 12_m 
栋梁_n ,_w 12_m 
修心_v ,_w 12_m 
天长_n ,_w 12_m 
畏人_n ,_w 12_m 
酒时_t ,_w 12_m 
无极_a ,_w 12_m 
平生志_n ,_w 12_m 
寒枝_n ,_w 12_m 
赤日_n ,_w 12_m 
元化_v ,_w 12_m 
三万_m ,_w 12_m 
掩抑_v ,_w 12_m 
战伐_n ,_w 12_m 
农_g ,_w 12_m 
隐几_n ,_w 12_m 
徇_g ,_w 12_m 
金微_np ,_w 12_m 
结实_a ,_w 12_m 
荒陂_n ,_w 12_m 
白家_n ,_w 12_m 
垂藤_n ,_w 12_m 
喉_g ,_w 12_m 
晓霜_np ,_w 12_m 
深松_a ,_w 12_m 
昔游_v ,_w 12_m 
淅淅_v ,_w 12_m 
峨_g ,_w 12_m 
丹诏_n ,_w 12_m 
永_d 望_v ,_w 12_m 
群物_n ,_w 12_m 
清尊_a ,_w 12_m 
建_v 溪_g ,_w 12_m 
严风_np ,_w 12_m 
声急_n ,_w 12_m 
中外_j ,_w 12_m 
二千_m 石_g ,_w 12_m 
雪色_n ,_w 12_m 
天通_n ,_w 12_m 
独_d 倚_v ,_w 12_m 
远_a 钟_n ,_w 12_m 
汉阴_ns ,_w 12_m 
世尘_n ,_w 12_m 
臻_g ,_w 12_m 
七日_t ,_w 12_m 
迁移_v ,_w 12_m 
武关_ns ,_w 12_m 
曈曈_v ,_w 12_m 
愁见_n ,_w 12_m 
清白_a ,_w 12_m 
大雅_n ,_w 12_m 
麒麟阁_ns ,_w 12_m 
卧听_v ,_w 12_m 
华滋_a ,_w 12_m 
院落_n ,_w 12_m 
乐道_n ,_w 12_m 
稽山_v ,_w 12_m 
复长_v ,_w 12_m 
国情_n ,_w 12_m 
诗成_n ,_w 12_m 
空馆_n ,_w 12_m 
婚嫁_n ,_w 12_m 
甜_a ,_w 12_m 
上空_s ,_w 12_m 
江馆_n ,_w 12_m 
高月_np ,_w 12_m 
海鹤_n ,_w 12_m 
东郭_np ,_w 12_m 
赋客_v ,_w 12_m 
俗人_n ,_w 12_m 
名园_n ,_w 12_m 
闺籍_n ,_w 12_m 
画戟_n ,_w 12_m 
迫_g ,_w 12_m 
牵情_v ,_w 12_m 
山径_n ,_w 12_m 
芊绵_a ,_w 12_m 
大旆_n ,_w 12_m 
翠袖_n ,_w 12_m 
鸣蝉_v ,_w 12_m 
蜀路_n ,_w 12_m 
猷_g ,_w 12_m 
氲_g ,_w 12_m 
萤影_n ,_w 12_m 
一_m 峰_g ,_w 12_m 
香炉峰_ns ,_w 12_m 
吟兴_v ,_w 12_m 
野岸_n ,_w 12_m 
春泥_n ,_w 12_m 
旋闻_n ,_w 12_m 
妾本_n ,_w 12_m 
商於_n ,_w 12_m 
感伤_a ,_w 12_m 
踏青_v ,_w 12_m 
谟_g ,_w 12_m 
空愧_v ,_w 12_m 
佳客_n ,_w 12_m 
瑁床_n ,_w 12_m 
下风_n ,_w 12_m 
游遨_v ,_w 12_m 
书窗_n ,_w 12_m 
鬓丝_n ,_w 12_m 
独知_v ,_w 12_m 
平生事_n ,_w 12_m 
商岭_n ,_w 12_m 
犹_d 长_a ,_w 12_m 
山雪_n ,_w 12_m 
谢氏_np ,_w 12_m 
古事_n ,_w 12_m 
浩歌_n ,_w 12_m 
红艳_a ,_w 12_m 
公孙_n ,_w 12_m 
香散_a ,_w 12_m 
河洛_ns ,_w 12_m 
泷_g ,_w 12_m 
异乡人_n ,_w 12_m 
行雁_n ,_w 12_m 
人_n 言_g ,_w 12_m 
林亭_n ,_w 12_m 
泛滟_v ,_w 12_m 
天月_t ,_w 12_m 
风篁_n ,_w 12_m 
燕飞_np ,_w 12_m 
无月_t ,_w 12_m 
破颜_v ,_w 12_m 
弟妹_n ,_w 12_m 
难度_n ,_w 12_m 
苦学_v ,_w 12_m 
知者_n ,_w 12_m 
嘉_e ,_w 12_m 
一隅_n ,_w 12_m 
旅泊_v ,_w 12_m 
回眸_v ,_w 12_m 
流通_v ,_w 12_m 
寻仙_v ,_w 12_m 
料君_np ,_w 12_m 
胡天_np ,_w 12_m 
防身_v ,_w 12_m 
朝簪_n ,_w 12_m 
无限思_v ,_w 12_m 
长安路_ns ,_w 12_m 
扫石_v ,_w 12_m 
禅堂_n ,_w 12_m 
嶂_g ,_w 12_m 
蜡炬_n ,_w 12_m 
觑_v ,_w 12_m 
兰叶_nz ,_w 12_m 
蛩声_n ,_w 12_m 
求人_v ,_w 12_m 
清境_n ,_w 12_m 
采摘_v ,_w 12_m 
下方_f ,_w 12_m 
吟行_v ,_w 12_m 
城临_v ,_w 12_m 
少室_n ,_w 12_m 
清漳_a ,_w 12_m 
吴乡_ns ,_w 12_m 
飞霜_n ,_w 12_m 
平戎_a ,_w 12_m 
文教_j ,_w 12_m 
不料_d ,_w 12_m 
留心_v ,_w 12_m 
漫流_v ,_w 12_m 
舷_g ,_w 12_m 
粟_g ,_w 12_m 
豸冠_n ,_w 12_m 
炎洲_ns ,_w 12_m 
樵径_n ,_w 12_m 
沥_g ,_w 12_m 
残晖_n ,_w 12_m 
游心_n ,_w 12_m 
上策_n ,_w 12_m 
山_n 远_a ,_w 12_m 
荣衰_v ,_w 12_m 
界_n ,_w 12_m 
高咏_np ,_w 12_m 
酒巾_n ,_w 12_m 
国步_n ,_w 12_m 
尊罍_v ,_w 12_m 
江_n 外_f ,_w 12_m 
睥睨_v ,_w 12_m 
李斯_np ,_w 12_m 
宝马_nz ,_w 12_m 
乏_g ,_w 12_m 
栈道_n ,_w 12_m 
无愧_v ,_w 12_m 
可堪_a ,_w 12_m 
忠_g ,_w 12_m 
真诀_n ,_w 12_m 
明堂_n ,_w 12_m 
服食_v ,_w 12_m 
尧舜_n ,_w 12_m 
庭闱_n ,_w 12_m 
大雪_n ,_w 12_m 
安得不_d ,_w 12_m 
点缀_v ,_w 12_m 
猿啼_n ,_w 12_m 
新亭_n ,_w 12_m 
塞门_n ,_w 12_m 
朝_p 昏_v ,_w 12_m 
丛台_n ,_w 12_m 
槐阴_ns ,_w 12_m 
馀晖_n ,_w 12_m 
吾_r 闻_v ,_w 12_m 
乐章_n ,_w 12_m 
封事_n ,_w 12_m 
坐惜_v ,_w 12_m 
凉天_n ,_w 12_m 
留醉_v ,_w 12_m 
胡床_n ,_w 12_m 
遭遇_n ,_w 12_m 
手里_s ,_w 12_m 
中_f 道_v ,_w 12_m 
岩_g 边_f ,_w 12_m 
绽_g ,_w 12_m 
可悲_a ,_w 12_m 
翔_g ,_w 12_m 
酒债_n ,_w 12_m 
斑竹_n ,_w 12_m 
绮季_n ,_w 12_m 
英才_n ,_w 12_m 
园_g 中_f ,_w 12_m 
上心_a ,_w 12_m 
仰视_v ,_w 12_m 
情知_n ,_w 12_m 
樵夫_n ,_w 12_m 
黄屋_n ,_w 12_m 
莫虑_ns ,_w 12_m 
山钟_n ,_w 12_m 
渚田_n ,_w 12_m 
织成_v ,_w 12_m 
祠堂_n ,_w 12_m 
蘼芜_a ,_w 12_m 
晚照_n ,_w 12_m 
犹待_v ,_w 12_m 
憔_g ,_w 12_m 
笋_g ,_w 12_m 
野禽_n ,_w 12_m 
绮疏_a ,_w 12_m 
晦_g ,_w 12_m 
难_a 忘酒_v ,_w 12_m 
主人恩_n ,_w 12_m 
香台_n ,_w 12_m 
信风_n ,_w 12_m 
法侣_n ,_w 12_m 
征_v 西_f ,_w 12_m 
联句_v ,_w 12_m 
黯然_a ,_w 12_m 
归欤_v ,_w 12_m 
云_n 断_v ,_w 12_m 
巴西_ns ,_w 12_m 
山椒_n ,_w 12_m 
真是_d ,_w 12_m 
眼界_n ,_w 12_m 
咽喉_n ,_w 12_m 
鸳行_v ,_w 12_m 
天花_n ,_w 12_m 
馀哀_v ,_w 12_m 
长愿_n ,_w 12_m 
东人_n ,_w 12_m 
接连_v ,_w 12_m 
花映_v ,_w 12_m 
酒_n 入_v ,_w 12_m 
香花_n ,_w 12_m 
步障_n ,_w 12_m 
萸房_n ,_w 12_m 
季子_n ,_w 12_m 
夜雪_n ,_w 12_m 
徒步_d ,_w 12_m 
空长_n ,_w 12_m 
调笑_v ,_w 12_m 
寒蛩_n ,_w 12_m 
藩_g ,_w 12_m 
闻钟_np ,_w 12_m 
裴徊_v ,_w 12_m 
中_f 生_v ,_w 12_m 
云阳_ns ,_w 12_m 
开士_n ,_w 12_m 
寻师_v ,_w 12_m 
玉钗_n ,_w 12_m 
拭泪_v ,_w 12_m 
枯叶_n ,_w 12_m 
夙驾_n ,_w 12_m 
满_a 床_n ,_w 12_m 
终极_n ,_w 12_m 
鄙夫_n ,_w 12_m 
灵溪_ns ,_w 12_m 
短褐_a ,_w 12_m 
无取_v ,_w 12_m 
匡床_v ,_w 12_m 
椒房_n ,_w 12_m 
镌_g ,_w 12_m 
游梁_n ,_w 12_m 
红裙_n ,_w 12_m 
高木_n ,_w 12_m 
纤指_n ,_w 12_m 
古台_n ,_w 12_m 
虎啸_n ,_w 12_m 
蹈_g ,_w 12_m 
更为_d ,_w 12_m 
春禽_n ,_w 12_m 
夜光_n ,_w 12_m 
香街_n ,_w 12_m 
丹井_n ,_w 12_m 
苍穹_n ,_w 12_m 
天马_n ,_w 12_m 
知非_np ,_w 12_m 
佳色_n ,_w 12_m 
漳滨_np ,_w 12_m 
尘沙_n ,_w 12_m 
曹溪_ns ,_w 12_m 
觌_g ,_w 12_m 
步月_t ,_w 12_m 
愔愔_n ,_w 12_m 
陆_g ,_w 12_m 
白酒_n ,_w 12_m 
海头_n ,_w 12_m 
邻鸡_n ,_w 12_m 
闲园_n ,_w 12_m 
高冈_ns ,_w 12_m 
发声_v ,_w 12_m 
西蜀_ns ,_w 12_m 
巢燕_np ,_w 12_m 
流传_v ,_w 12_m 
沈醉_np ,_w 12_m 
秋别_n ,_w 12_m 
涕泪_v ,_w 12_m 
隔溪_ns ,_w 12_m 
节旄_v ,_w 12_m 
乐奏_v ,_w 12_m 
烟迷_n ,_w 12_m 
石家_n ,_w 12_m 
天_n 南_f ,_w 12_m 
青葱_n ,_w 12_m 
炎暑_n ,_w 12_m 
展眉_v ,_w 12_m 
前心_n ,_w 12_m 
分得_v ,_w 12_m 
已经年_t ,_w 12_m 
自取_v ,_w 12_m 
日暖_n ,_w 12_m 
沉沦_v ,_w 12_m 
浅水_n ,_w 12_m 
出郊_v ,_w 12_m 
羽节_n ,_w 12_m 
古殿_n ,_w 12_m 
边事_n ,_w 12_m 
干时_t ,_w 12_m 
当官_v ,_w 12_m 
蒙蒙_a ,_w 12_m 
蔬食_n ,_w 12_m 
伫闻_n ,_w 12_m 
乳_g ,_w 12_m 
骊龙_n ,_w 12_m 
松花_n ,_w 12_m 
凭仗_n ,_w 12_m 
青钱_n ,_w 12_m 
无_v 物_g ,_w 12_m 
东观_a ,_w 12_m 
照明_n ,_w 12_m 
野步_n ,_w 12_m 
簪组_n ,_w 12_m 
鸟语_n ,_w 12_m 
钱塘_ns ,_w 12_m 
羽林儿_n ,_w 12_m 
风期_n ,_w 12_m 
石潭_ns ,_w 12_m 
谗_g ,_w 12_m 
嫩叶_n ,_w 12_m 
空_d 流_v ,_w 12_m 
递相_v ,_w 12_m 
繁英_a ,_w 12_m 
曙月_t ,_w 12_m 
白璧_n ,_w 12_m 
东头_f ,_w 12_m 
工_n ,_w 12_m 
藩篱_n ,_w 12_m 
楚色_n ,_w 12_m 
准_a ,_w 12_m 
废兴_v ,_w 12_m 
子弟_n ,_w 12_m 
中和_v ,_w 12_m 
朝端_n ,_w 12_m 
大将_n ,_w 12_m 
郢客_n ,_w 12_m 
城墙_n ,_w 12_m 
满溪_ns ,_w 12_m 
今兹_t ,_w 12_m 
仙洞_n ,_w 12_m 
仙经_n ,_w 12_m 
万山_ns ,_w 12_m 
草阁_n ,_w 12_m 
顾影_n ,_w 12_m 
高视_v ,_w 12_m 
丰茸_n ,_w 12_m 
青萍_n ,_w 12_m 
水竹_n ,_w 12_m 
灭_v 迹_g ,_w 12_m 
厅_n ,_w 12_m 
青镜_n ,_w 12_m 
不一_v ,_w 12_m 
淑景_n ,_w 12_m 
夜直_n ,_w 12_m 
盛业_n ,_w 12_m 
苇_g ,_w 12_m 
夜声_n ,_w 12_m 
岂识_n ,_w 12_m 
晚年_t ,_w 12_m 
外人_n ,_w 12_m 
秋灯_n ,_w 12_m 
酒肆_n ,_w 12_m 
幽客_n ,_w 12_m 
自喜_v ,_w 12_m 
父兄_n ,_w 12_m 
察_g ,_w 12_m 
证_n ,_w 12_m 
征骑_v ,_w 12_m 
吹笛_v ,_w 12_m 
终南山_ns ,_w 12_m 
子期_n ,_w 12_m 
思长_n ,_w 12_m 
狎鸥_n ,_w 12_m 
直言_v ,_w 12_m 
无暇_d ,_w 12_m 
花叶_n ,_w 12_m 
丰岁_v ,_w 12_m 
连理_n ,_w 12_m 
洞天_n ,_w 12_m 
人_n 稀_a ,_w 12_m 
檀郎_n ,_w 12_m 
出自_v ,_w 12_m 
洗兵_v ,_w 12_m 
操持_v ,_w 12_m 
戎幕_n ,_w 12_m 
蒙茸_n ,_w 12_m 
熊_n ,_w 12_m 
遇物_v ,_w 12_m 
倾酒_v ,_w 12_m 
酒船_n ,_w 12_m 
停骖_v ,_w 12_m 
慎勿_v ,_w 12_m 
高心_a ,_w 12_m 
酒_n 狂_a ,_w 12_m 
桂子_n ,_w 12_m 
累日_t ,_w 12_m 
鳌头_n ,_w 12_m 
妖氛_n ,_w 12_m 
经雨_n ,_w 12_m 
宪府_n ,_w 12_m 
短亭_n ,_w 12_m 
江湄_np ,_w 12_m 
萧何_np ,_w 12_m 
不_d 谓_g ,_w 12_m 
循环_v ,_w 12_m 
颢气_n ,_w 12_m 
隋苑_np ,_w 12_m 
逸兴_v ,_w 12_m 
天光_n ,_w 12_m 
迩_g ,_w 12_m 
舞席_n ,_w 12_m 
应识_n ,_w 12_m 
开眼_v ,_w 12_m 
岸柳_n ,_w 12_m 
无形_a ,_w 12_m 
深隐_a ,_w 12_m 
萱草_n ,_w 12_m 
亲疏_a ,_w 12_m 
清唱_v ,_w 12_m 
修道_n ,_w 12_m 
潜夫_n ,_w 12_m 
斑斑_a ,_w 12_m 
清弦_n ,_w 12_m 
愚谷_n ,_w 12_m 
中_f 闲_v ,_w 12_m 
欢言_v ,_w 12_m 
葛巾_n ,_w 12_m 
吏人_n ,_w 12_m 
为此_d ,_w 12_m 
飞雨_n ,_w 12_m 
闺门_n ,_w 12_m 
君稀_n ,_w 12_m 
暮节_n ,_w 12_m 
古堤_n ,_w 12_m 
上千_m ,_w 12_m 
长缨_n ,_w 12_m 
缅_j ,_w 12_m 
翠辇_a ,_w 12_m 
帝王_n ,_w 12_m 
幽篁_n ,_w 12_m 
白刃_n ,_w 12_m 
驭_g ,_w 12_m 
外情_n ,_w 12_m 
老亲_n ,_w 12_m 
衣钵_n ,_w 12_m 
登庸_v ,_w 12_m 
龙形_n ,_w 12_m 
断魂_v ,_w 12_m 
东亭_ns ,_w 12_m 
时命_n ,_w 12_m 
白道_n ,_w 12_m 
分野_n ,_w 12_m 
洪涛_np ,_w 12_m 
相妨_v ,_w 12_m 
安置_v ,_w 12_m 
鸣鸡_v ,_w 12_m 
花洞_n ,_w 12_m 
逃名_v ,_w 12_m 
品_v ,_w 12_m 
朋友_n ,_w 12_m 
山接_n ,_w 12_m 
依微_v ,_w 12_m 
岳阳楼_ns ,_w 12_m 
异日_n ,_w 12_m 
自老_np ,_w 12_m 
来雁_n ,_w 12_m 
哭声_n ,_w 12_m 
高科_j ,_w 12_m 
铁衣_n ,_w 12_m 
不堪回首_id ,_w 12_m 
笙簧_n ,_w 12_m 
窗月_t ,_w 12_m 
绝壑_n ,_w 12_m 
夏木_n ,_w 12_m 
浮桥_n ,_w 12_m 
相鲜_v ,_w 12_m 
晓发_v ,_w 12_m 
邻人_n ,_w 12_m 
远_a 树_n ,_w 12_m 
秦树_n ,_w 12_m 
幽思_v ,_w 12_m 
相求_v ,_w 12_m 
征君_v ,_w 12_m 
不可_v 亲_g ,_w 12_m 
迸笋_n ,_w 12_m 
幸君_np ,_w 12_m 
攀援_v ,_w 12_m 
虚传_v ,_w 12_m 
滟滟_v ,_w 12_m 
御路_n ,_w 12_m 
云光_n ,_w 12_m 
空明_a ,_w 12_m 
少壮_a ,_w 12_m 
针_n ,_w 12_m 
四百_m ,_w 12_m 
巴陵_ns ,_w 12_m 
倚_v 楼_n ,_w 12_m 
荷风_n ,_w 12_m 
忽忽_v ,_w 12_m 
凛凛_a ,_w 12_m 
衰羸_v ,_w 12_m 
流俗_n ,_w 12_m 
羁游_v ,_w 12_m 
茂_a ,_w 12_m 
徼_g ,_w 12_m 
玉液_n ,_w 12_m 
解衣_v ,_w 12_m 
灯_n 前_f ,_w 12_m 
登陆_v ,_w 12_m 
娃宫_n ,_w 12_m 
青女_n ,_w 12_m 
南郭_np ,_w 12_m 
害_v ,_w 12_m 
桑干_np ,_w 12_m 
四野_n ,_w 12_m 
野僧_n ,_w 12_m 
绛纱_n ,_w 12_m 
心赏_n ,_w 12_m 
寐_e ,_w 12_m 
宜城_ns ,_w 12_m 
何夕_np ,_w 12_m 
门庭_n ,_w 12_m 
云涛_np ,_w 12_m 
梓州_ns ,_w 12_m 
侍郎_n ,_w 12_m 
浮烟_n ,_w 12_m 
苏武节_np ,_w 12_m 
五百年_t ,_w 12_m 
戟门_n ,_w 12_m 
杨叶_np ,_w 12_m 
君怀_n ,_w 12_m 
婴_g ,_w 12_m 
功臣_n ,_w 12_m 
虎丘_n ,_w 12_m 
碧梧_a ,_w 12_m 
褒_v ,_w 12_m 
胜负_n ,_w 12_m 
禅寂_a ,_w 12_m 
池光_n ,_w 12_m 
延陵_ns ,_w 12_m 
巍巍_a ,_w 12_m 
燕雁_n ,_w 12_m 
悬灯_n ,_w 12_m 
灵仙_n ,_w 12_m 
时康_n ,_w 12_m 
宿草_n ,_w 12_m 
一千年_t ,_w 12_m 
危石_n ,_w 12_m 
紫骝_n ,_w 12_m 
汞_n ,_w 12_m 
弱冠_n ,_w 12_m 
江花_n ,_w 12_m 
宫人_n ,_w 12_m 
浮杯_v ,_w 12_m 
智者_n ,_w 12_m 
高明_a ,_w 12_m 
爱憎_n ,_w 12_m 
声哀_v ,_w 12_m 
解围_v ,_w 12_m 
寒原_n ,_w 12_m 
水源_n ,_w 12_m 
君吟_v ,_w 11_m 
榆关_ns ,_w 11_m 
远_a 信_n ,_w 11_m 
燃_g ,_w 11_m 
聊用_v ,_w 11_m 
珍簟_n ,_w 11_m 
阮步兵_np ,_w 11_m 
出游_v ,_w 11_m 
香稻_n ,_w 11_m 
乡台_n ,_w 11_m 
显_v ,_w 11_m 
执手_v ,_w 11_m 
青峰_n ,_w 11_m 
谢守_v ,_w 11_m 
天宇_n ,_w 11_m 
知春_np ,_w 11_m 
后代_n ,_w 11_m 
茅君_np ,_w 11_m 
接近_v ,_w 11_m 
湓_g ,_w 11_m 
粉堞_n ,_w 11_m 
何峰_np ,_w 11_m 
岛夷_n ,_w 11_m 
尽意_d ,_w 11_m 
西戎_np ,_w 11_m 
远路_n ,_w 11_m 
岭_n 外_f ,_w 11_m 
王业_n ,_w 11_m 
山入_n ,_w 11_m 
深云_a ,_w 11_m 
临泛_a ,_w 11_m 
州城_n ,_w 11_m 
听时_t ,_w 11_m 
自相亲_id ,_w 11_m 
翻疑_v ,_w 11_m 
晓望_v ,_w 11_m 
绝粒_n ,_w 11_m 
盈尺_n ,_w 11_m 
瘴疠_v ,_w 11_m 
譬如_v ,_w 11_m 
上时_t ,_w 11_m 
岂意_v ,_w 11_m 
复还_v ,_w 11_m 
春盘_n ,_w 11_m 
满怀_v ,_w 11_m 
盘涡_n ,_w 11_m 
不得已_a ,_w 11_m 
筠_g ,_w 11_m 
铜驼_n ,_w 11_m 
惊蓬_np ,_w 11_m 
金方_np ,_w 11_m 
远程_a ,_w 11_m 
西岸_s ,_w 11_m 
朔气_n ,_w 11_m 
酒百_n ,_w 11_m 
腰身_n ,_w 11_m 
二仪_np ,_w 11_m 
药囊_n ,_w 11_m 
荆卿_np ,_w 11_m 
眼睛_n ,_w 11_m 
寒竹_n ,_w 11_m 
六七年_t ,_w 11_m 
当门_v ,_w 11_m 
相_d 携_v ,_w 11_m 
人马_n ,_w 11_m 
清气_a ,_w 11_m 
宾筵_n ,_w 11_m 
嘉节_n ,_w 11_m 
湖色_n ,_w 11_m 
蓬鬓_n ,_w 11_m 
经_p 春_g ,_w 11_m 
聘_v ,_w 11_m 
胶漆_n ,_w 11_m 
罹_g ,_w 11_m 
贳_g ,_w 11_m 
萧_e ,_w 11_m 
深沉_a ,_w 11_m 
痊_g ,_w 11_m 
念尔_np ,_w 11_m 
秦台_n ,_w 11_m 
迨_g ,_w 11_m 
落木_n ,_w 11_m 
骊_g ,_w 11_m 
山通_n ,_w 11_m 
阴生_n ,_w 11_m 
湘娥_np ,_w 11_m 
柳堤_n ,_w 11_m 
浓香_n ,_w 11_m 
春睡_v ,_w 11_m 
荷锄_n ,_w 11_m 
幽芳_a ,_w 11_m 
当面_v ,_w 11_m 
岂暇_n ,_w 11_m 
摧折_v ,_w 11_m 
说法_n ,_w 11_m 
龙韬_np ,_w 11_m 
露花_n ,_w 11_m 
委顺_a ,_w 11_m 
浮光_n ,_w 11_m 
名宦_n ,_w 11_m 
危樯_n ,_w 11_m 
客至_n ,_w 11_m 
露寒_a ,_w 11_m 
